system,val_f0,val_f4,val_f3_es,ci95_f0,test_matches,test_empty_rate,delta_vs_V2,extra_removed,test_France_matches,test_France_delta_vs_V2,test_France_extra_removed,test_India_matches,test_India_delta_vs_V2,test_India_extra_removed,test_US_matches,test_US_delta_vs_V2,test_US_extra_removed,val_f0_India,val_f0_US,inflation_France,inflation_India,inflation_US,status
V2,0.9869619273322854,0.9870832186715245,0.9870118781228362,None,5841984,0.057062908647630306,0,106423,862467,0,16143,2729090,0,32712,2250427,0,57568,0.9855702600364584,0.9878903169247195,,,,
V3,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5908631,0.0574553950722175,66647,0,861896,-571,0,2746921,17831,0,2299814,49387,0,0.9910383571390493,0.9906149037939254,,0.8456277226015985,9.412714273088772,
V3_noGNN,0.9895076980825659,0.989543934219914,0.9894745450695999,None,5817418,0.057004612869860735,-24566,71639,847370,-15097,8664,2729484,394,12909,2240564,-9863,50066,0.990090109546675,0.9891191679048326,,0.03266639896511976,4.608625380277507,
V3_noXLMR,0.9884077020433424,0.9885413101110823,0.9884788112242966,None,6179749,0.05677604724613054,337765,29110,889075,26608,8368,2848761,119671,13135,2441913,191486,7607,0.9869852066713732,0.9893566572301042,,18.181588965438706,41.17254036477929,
V3_GNNnoCos,0.9908002840729234,0.9909071442540542,0.9908253645331158,None,5905018,0.05755236230652728,63034,11049,862422,-45,1414,2746101,17011,2186,2296495,46068,7449,0.9910489241376033,0.9906344147958317,,0.7988135525939579,8.278281307120574,
V3_cosHash1_GNN,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5908203,0.057460012559565586,66219,2250,861831,-636,356,2746888,17798,473,2299484,49057,1421,0.9910383571390493,0.9906149037939254,,0.8440627113938225,9.349819266100715,
V3_cosHash1_chain,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5907121,0.057473287835691333,65137,7946,861316,-1151,1181,2746174,17084,2026,2299631,49204,4739,0.9910383571390493,0.9906149037939254,,0.8102015598073976,9.37783613284994,
V3_V2decoder,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5908631,0.0574553950722175,66647,0,861896,-571,0,2746921,17831,0,2299814,49387,0,0.9910383571390493,0.9906149037939254,,0.8456277226015985,9.412714273088772,
V3_noIso,0.990804202094134,0.9908856387053697,0.9907792157529896,None,5917724,0.057425958590373465,75740,131,863941,1474,34,2749369,20279,25,2304414,53987,72,0.9910626966899342,0.9906317588002798,,0.8740593316892851,7.982532377344916,
V3_thrMargin,0.9907583226464228,0.9908328046190675,0.9906658176415101,None,5923254,0.0579021369731447,81270,4076,865561,3094,670,2749346,20256,1697,2308347,57920,1709,0.9909990757697911,0.9905977147951416,,0.8322950682602563,7.082819611447904,
V3_stage1halfA,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5925289,0.05750330150345388,83305,7017,861471,-996,1976,2750584,21494,1825,2313234,62807,3216,0.9910383571390493,0.9906149037939254,,1.0193439666647275,11.970444557269861,
V3_stage1halfB,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5904432,0.05733187728565624,62448,13877,864358,1891,1432,2747000,17910,2359,2293074,42647,10086,0.9910383571390493,0.9906149037939254,,0.8493742645838499,8.128131403090224,
V4A,0.9907843520865446,0.9908947659290426,0.9907884672636662,None,5923052,0.05747848250895793,81068,14488,862155,-312,3300,2748677,19587,3584,2312220,61793,7604,0.9910383571390493,0.9906149037939254,,0.9289052886880999,11.777185353979277,
V4B,0.9884077020433424,0.9885413101110823,0.9884788112242966,None,6219649,0.05660289147057737,377665,28496,892434,29967,7827,2866562,137472,12790,2460653,210226,7879,0.9869852066713732,0.9893566572301042,,20.88609101834856,45.20193889227459,
V4C,,,,,,,,,,,,,,,,,,,,,,,missing
